log_id,timestamp,user,source_ip,event_type,status,bytes_transferred,label
LOG100063,2026-01-02 12:46:30,user_34,10.0.1.9,DB_QUERY,SUCCESS,1432,0
LOG100064,2026-01-02 12:47:12,user_9,10.0.1.4,CONFIG_CHANGE,SUCCESS,2263,0
LOG100065,2026-01-02 13:01:11,user_22,10.0.1.22,CONFIG_CHANGE,SUCCESS,1557,0
LOG100066,2026-01-02 13:01:31,user_18,10.0.1.10,PRIVILEGE_CHANGE,SUCCESS,1212,0
LOG100067,2026-01-02 13:21:50,user_25,10.0.1.6,API_CALL,FAILED,1315,0
LOG100068,2026-01-02 13:25:54,user_23,10.0.1.3,CONFIG_CHANGE,SUCCESS,2810,0
LOG100069,2026-01-02 13:45:38,user_27,10.0.1.7,LOGIN,FAILED,879,0
LOG100070,2026-01-02 13:58:43,user_24,10.0.1.18,FILE_WRITE,FAILED,2620,0
LOG100071,2026-01-02 14:02:59,user_7,10.0.1.5,API_CALL,FAILED,1930,0
LOG100072,2026-01-02 14:10:31,user_10,10.0.1.15,LOGIN,SUCCESS,3121,0
LOG100073,2026-01-02 14:27:58,user_17,10.0.1.20,DB_QUERY,SUCCESS,2156,0
LOG100074,2026-01-02 14:57:24,user_16,10.0.1.2,CONFIG_CHANGE,SUCCESS,1798,0
LOG100075,2026-01-02 15:15:50,user_31,10.0.1.10,DB_QUERY,SUCCESS,2897,0
LOG100076,2026-01-02 15:42:59,user_8,10.0.1.7,FILE_ACCESS,SUCCESS,1902,0
LOG100077,2026-01-02 16:29:14,user_27,10.0.1.4,LOGOUT,SUCCESS,593,0
LOG100078,2026-01-02 16:33:35,user_6,10.0.1.20,FILE_ACCESS,SUCCESS,1969,0
LOG100079,2026-01-02 16:38:21,user_17,10.0.1.19,API_CALL,SUCCESS,172,0
LOG100080,2026-01-02 16:47:10,user_23,10.0.1.5,CONFIG_CHANGE,SUCCESS,847,0
LOG100081,2026-01-02 16:58:32,user_35,10.0.1.8,LOGOUT,SUCCESS,2959,0
LOG100082,2026-01-02 17:12:01,user_7,10.0.1.9,PRIVILEGE_CHANGE,SUCCESS,3785,0
LOG100083,2026-01-02 17:51:03,user_22,10.0.1.9,FILE_ACCESS,SUCCESS,3328,0
LOG100084,2026-01-02 18:03:41,user_19,10.0.1.21,API_CALL,SUCCESS,2641,0
LOG100085,2026-01-02 18:04:53,user_36,10.0.1.18,FILE_ACCESS,SUCCESS,1307,0
LOG100086,2026-01-02 18:31:15,user_16,10.0.1.7,PRIVILEGE_CHANGE,SUCCESS,2884,0
LOG100087,2026-01-02 18:50:03,svc_monitor,10.0.1.27,PRIVILEGE_CHANGE,SUCCESS,2431,0
LOG100088,2026-01-02 18:57:56,user_13,10.0.1.10,DB_QUERY,FAILED,2000,0
LOG100089,2026-01-02 20:50:44,user_5,10.0.1.7,API_CALL,SUCCESS,3295,0
LOG100090,2026-01-02 20:57:16,user_4,10.0.1.13,LOGIN,SUCCESS,790,0
LOG100091,2026-01-03 00:16:15,user_6,10.0.1.8,CONFIG_CHANGE,SUCCESS,2715,1
LOG100092,2026-01-03 01:20:29,user_28,203.0.113.8,LOGIN,FAILED,3069,1
LOG100093,2026-01-03 02:04:15,user_17,203.0.113.4,FILE_ACCESS,SUCCESS,28061,1
LOG100094,2026-01-03 02:11:46,user_5,203.0.113.11,FILE_ACCESS,SUCCESS,1063,1
LOG100095,2026-01-03 03:22:47,user_3,203.0.113.14,PRIVILEGE_CHANGE,SUCCESS,1935,1
LOG100096,2026-01-03 03:29:37,user_6,10.0.1.8,FILE_ACCESS,SUCCESS,30742,1
LOG100097,2026-01-03 03:37:12,svc_deploy,10.0.1.20,CONFIG_CHANGE,SUCCESS,1798,1
LOG100098,2026-01-03 05:10:06,user_10,10.0.1.19,LOGOUT,SUCCESS,1746,0
LOG100099,2026-01-03 05:20:44,user_26,10.0.1.22,FILE_WRITE,SUCCESS,1731,0
LOG100100,2026-01-03 07:04:36,user_38,10.0.1.23,LOGIN,SUCCESS,2484,0
LOG100101,2026-01-03 07:54:24,user_27,10.0.1.6,CONFIG_CHANGE,SUCCESS,1345,0
LOG100102,2026-01-03 08:38:48,user_12,10.0.1.27,LOGOUT,FAILED,2908,0
LOG100103,2026-01-03 08:51:07,user_4,10.0.1.27,DB_QUERY,SUCCESS,3218,0
LOG100104,2026-01-03 09:10:19,user_29,10.0.1.22,LOGOUT,SUCCESS,397,0
LOG100105,2026-01-03 09:20:05,user_1,10.0.1.7,FILE_WRITE,SUCCESS,1539,0
LOG100106,2026-01-03 09:31:46,user_22,10.0.1.12,CONFIG_CHANGE,SUCCESS,2122,0
LOG100107,2026-01-03 09:32:02,user_18,10.0.1.17,CONFIG_CHANGE,SUCCESS,1522,0
LOG100108,2026-01-03 10:16:46,user_31,10.0.1.29,DB_QUERY,FAILED,1490,0
LOG100109,2026-01-03 10:47:56,user_2,10.0.1.29,API_CALL,SUCCESS,1582,0
LOG100110,2026-01-03 10:48:18,user_25,10.0.1.28,FILE_WRITE,SUCCESS,2488,0
LOG100111,2026-01-03 10:50:35,svc_backup,10.0.1.25,CONFIG_CHANGE,SUCCESS,1227,0
LOG100112,2026-01-03 11:10:48,user_38,10.0.1.25,DB_QUERY,SUCCESS,1832,0
LOG100113,2026-01-03 11:38:03,user_25,10.0.1.16,DB_QUERY,FAILED,2193,0
LOG100114,2026-01-03 11:46:40,user_14,10.0.1.10,LOGIN,FAILED,2173,0
LOG100115,2026-01-03 11:58:58,user_17,10.0.1.28,CONFIG_CHANGE,SUCCESS,1472,0
LOG100116,2026-01-03 12:26:45,svc_monitor,10.0.1.12,LOGOUT,SUCCESS,2327,0
LOG100117,2026-01-03 12:28:49,user_2,10.0.1.24,LOGIN,SUCCESS,1013,0
LOG100118,2026-01-03 12:37:36,user_33,10.0.1.25,CONFIG_CHANGE,SUCCESS,915,0
LOG100119,2026-01-03 12:43:09,user_5,10.0.1.26,LOGOUT,SUCCESS,1906,0
LOG100120,2026-01-03 13:59:28,user_8,10.0.1.25,PRIVILEGE_CHANGE,SUCCESS,2282,0
LOG100121,2026-01-03 14:02:52,user_39,10.0.1.3,FILE_WRITE,SUCCESS,1218,0
LOG100122,2026-01-03 14:21:31,user_38,10.0.1.29,DB_QUERY,SUCCESS,1655,0
LOG100123,2026-01-03 14:31:03,user_4,10.0.1.8,FILE_ACCESS,FAILED,2664,0
LOG100124,2026-01-03 14:34:51,user_23,10.0.1.27,FILE_WRITE,SUCCESS,903,0
LOG100125,2026-01-03 14:51:37,user_6,10.0.1.21,FILE_WRITE,SUCCESS,1763,0
LOG100126,2026-01-03 14:59:48,user_25,10.0.1.26,API_CALL,FAILED,2071,0
LOG100127,2026-01-03 15:40:42,user_26,10.0.1.27,LOGIN,SUCCESS,2113,0
LOG100128,2026-01-03 15:48:48,user_25,10.0.1.22,API_CALL,SUCCESS,2306,0
LOG100129,2026-01-03 15:55:45,svc_monitor,10.0.1.28,FILE_WRITE,FAILED,1247,0
LOG100130,2026-01-03 16:09:32,user_40,10.0.1.14,DB_QUERY,FAILED,3999,0
LOG100131,2026-01-03 16:20:27,user_40,10.0.1.15,LOGIN,SUCCESS,905,0
LOG100132,2026-01-03 16:23:01,user_13,10.0.1.14,CONFIG_CHANGE,FAILED,2945,0
LOG100133,2026-01-03 16:28:58,user_7,10.0.1.20,CONFIG_CHANGE,SUCCESS,3220,0
LOG100134,2026-01-03 17:16:00,user_25,10.0.1.10,LOGOUT,SUCCESS,1610,0
LOG100135,2026-01-03 20:33:40,user_14,10.0.1.13,LOGIN,FAILED,2456,0
LOG100136,2026-01-04 02:58:24,user_9,10.0.1.4,PRIVILEGE_CHANGE,SUCCESS,1035,1
LOG100137,2026-01-04 03:12:45,user_18,203.0.113.5,CONFIG_CHANGE,SUCCESS,3176,1
LOG100138,2026-01-04 05:16:19,user_23,10.0.1.14,LOGOUT,SUCCESS,1811,0
LOG100139,2026-01-04 06:16:34,user_5,10.0.1.29,FILE_ACCESS,SUCCESS,2563,0
LOG100140,2026-01-04 07:38:14,user_29,10.0.1.21,FILE_WRITE,SUCCESS,240,0
LOG100141,2026-01-04 08:10:20,user_26,10.0.1.5,LOGOUT,SUCCESS,1390,0
LOG100142,2026-01-04 08:36:38,user_29,10.0.1.19,FILE_WRITE,SUCCESS,2500,0
LOG100143,2026-01-04 09:45:29,user_29,10.0.1.26,API_CALL,SUCCESS,1998,0
LOG100144,2026-01-04 09:58:23,user_2,10.0.1.5,LOGOUT,SUCCESS,2447,0
LOG100145,2026-01-04 10:01:43,user_12,10.0.1.25,LOGOUT,SUCCESS,1193,0
LOG100146,2026-01-04 10:17:32,user_16,10.0.1.13,FILE_WRITE,SUCCESS,2834,0
LOG100147,2026-01-04 10:19:55,user_8,10.0.1.25,LOGIN,SUCCESS,1095,0
LOG100148,2026-01-04 11:14:20,user_35,10.0.1.23,PRIVILEGE_CHANGE,SUCCESS,2346,0
LOG100149,2026-01-04 12:01:04,user_10,10.0.1.14,LOGIN,FAILED,1463,0
LOG100150,2026-01-04 12:29:35,user_3,10.0.1.21,API_CALL,SUCCESS,2257,0
LOG100151,2026-01-04 12:54:22,user_34,10.0.1.23,PRIVILEGE_CHANGE,SUCCESS,795,0
LOG100152,2026-01-04 13:16:44,user_26,10.0.1.7,LOGOUT,SUCCESS,1575,0
LOG100153,2026-01-04 13:35:05,svc_backup,10.0.1.6,FILE_WRITE,SUCCESS,2116,0
LOG100154,2026-01-04 13:57:08,user_26,10.0.1.4,FILE_WRITE,SUCCESS,2531,0
LOG100155,2026-01-04 13:58:39,user_3,10.0.1.25,FILE_WRITE,SUCCESS,1536,0
LOG100156,2026-01-04 14:36:27,user_30,10.0.1.15,LOGIN,SUCCESS,1576,0
LOG100157,2026-01-04 14:36:47,user_39,10.0.1.20,FILE_WRITE,SUCCESS,3164,0
LOG100158,2026-01-04 14:45:15,user_14,10.0.1.26,CONFIG_CHANGE,SUCCESS,2908,0
LOG100159,2026-01-04 14:59:36,svc_deploy,10.0.1.16,LOGIN,SUCCESS,3121,0
LOG100160,2026-01-04 15:13:57,user_16,10.0.1.24,LOGOUT,SUCCESS,2603,0
LOG100161,2026-01-04 15:14:05,user_30,10.0.1.6,FILE_ACCESS,SUCCESS,2116,0
LOG100162,2026-01-04 15:47:45,user_9,10.0.1.5,FILE_ACCESS,SUCCESS,1708,0
LOG100163,2026-01-04 15:52:51,user_9,10.0.1.20,DB_QUERY,SUCCESS,2407,0
LOG100164,2026-01-04 16:05:12,user_22,10.0.1.24,API_CALL,FAILED,1561,0
LOG100165,2026-01-04 16:33:08,user_24,10.0.1.28,FILE_WRITE,SUCCESS,3281,0
LOG100166,2026-01-04 16:35:55,user_25,10.0.1.10,PRIVILEGE_CHANGE,SUCCESS,2561,0
LOG100167,2026-01-04 16:37:15,user_2,10.0.1.26,CONFIG_CHANGE,SUCCESS,2549,0
LOG100168,2026-01-04 16:41:03,user_3,10.0.1.16,LOGIN,FAILED,2592,0
LOG100169,2026-01-04 17:16:59,user_20,10.0.1.14,LOGOUT,FAILED,1884,0
LOG100170,2026-01-04 18:11:38,user_2,10.0.1.10,API_CALL,SUCCESS,2274,0
LOG100171,2026-01-04 20:20:58,user_14,10.0.1.8,LOGOUT,SUCCESS,2715,0
LOG100172,2026-01-05 00:50:47,user_8,10.0.1.14,PRIVILEGE_CHANGE,SUCCESS,1717,1
LOG100173,2026-01-05 03:37:02,user_12,203.0.113.8,LOGIN,FAILED,1970,1
LOG100174,2026-01-05 06:09:14,svc_deploy,10.0.1.14,FILE_WRITE,SUCCESS,1563,0
LOG100175,2026-01-05 08:01:18,user_20,10.0.1.29,LOGOUT,FAILED,1658,0
LOG100176,2026-01-05 08:07:50,user_17,10.0.1.25,LOGOUT,SUCCESS,2809,0
LOG100177,2026-01-05 09:58:20,user_36,10.0.1.28,DB_QUERY,SUCCESS,1028,0
LOG100178,2026-01-05 10:28:14,user_35,10.0.1.25,CONFIG_CHANGE,SUCCESS,2979,0
LOG100179,2026-01-05 10:53:55,user_33,10.0.1.10,DB_QUERY,SUCCESS,3226,0
LOG100180,2026-01-05 11:03:19,user_10,10.0.1.26,FILE_ACCESS,SUCCESS,1246,0
LOG100181,2026-01-05 11:18:46,user_16,10.0.1.24,LOGIN,SUCCESS,865,0
LOG100182,2026-01-05 11:19:18,user_29,10.0.1.16,LOGOUT,SUCCESS,2623,0
LOG100183,2026-01-05 11:44:19,user_17,10.0.1.18,FILE_WRITE,FAILED,1670,0
LOG100184,2026-01-05 11:48:20,user_10,10.0.1.28,FILE_WRITE,SUCCESS,2321,0
LOG100185,2026-01-05 12:03:34,user_17,10.0.1.29,API_CALL,FAILED,743,0
LOG100186,2026-01-05 12:25:38,user_10,10.0.1.4,LOGIN,SUCCESS,2406,0
LOG100187,2026-01-05 12:34:06,user_27,10.0.1.13,API_CALL,FAILED,2791,0
LOG100188,2026-01-05 13:00:39,user_30,10.0.1.26,FILE_WRITE,SUCCESS,1456,0
LOG100189,2026-01-05 13:03:18,svc_deploy,10.0.1.24,DB_QUERY,SUCCESS,0,0
LOG100190,2026-01-05 13:08:40,user_35,10.0.1.21,DB_QUERY,SUCCESS,2625,0
LOG100191,2026-01-05 13:25:43,user_2,10.0.1.19,FILE_WRITE,SUCCESS,3281,0
LOG100192,2026-01-05 13:36:59,user_13,10.0.1.27,PRIVILEGE_CHANGE,SUCCESS,1495,0
LOG100193,2026-01-05 13:50:31,svc_backup,10.0.1.14,FILE_WRITE,SUCCESS,1735,0
LOG100194,2026-01-05 14:26:34,user_33,10.0.1.5,DB_QUERY,SUCCESS,2305,0
LOG100195,2026-01-05 14:40:19,user_1,10.0.1.6,PRIVILEGE_CHANGE,SUCCESS,2815,0
LOG100196,2026-01-05 14:40:26,user_2,10.0.1.20,PRIVILEGE_CHANGE,SUCCESS,2531,0
LOG100197,2026-01-05 14:40:30,user_21,10.0.1.26,CONFIG_CHANGE,SUCCESS,1217,0
LOG100198,2026-01-05 14:47:13,user_27,10.0.1.16,CONFIG_CHANGE,FAILED,1849,0
LOG100199,2026-01-05 15:19:49,user_25,10.0.1.16,DB_QUERY,SUCCESS,2460,0
LOG100200,2026-01-05 15:36:26,user_30,10.0.1.19,API_CALL,SUCCESS,2123,0
LOG100201,2026-01-05 15:40:52,user_15,10.0.1.7,CONFIG_CHANGE,SUCCESS,1310,0
LOG100202,2026-01-05 15:55:27,user_15,10.0.1.17,FILE_ACCESS,FAILED,2776,0
LOG100203,2026-01-05 15:57:48,user_39,10.0.1.13,LOGIN,SUCCESS,2887,0
LOG100204,2026-01-05 16:00:36,user_9,10.0.1.23,FILE_ACCESS,SUCCESS,1538,0
LOG100205,2026-01-05 16:19:37,user_25,10.0.1.16,DB_QUERY,SUCCESS,2439,0
LOG100206,2026-01-05 17:24:19,user_34,10.0.1.7,API_CALL,FAILED,4071,0
LOG100207,2026-01-05 18:38:26,user_9,10.0.1.21,LOGOUT,SUCCESS,2270,0
LOG100208,2026-01-05 18:43:43,user_5,10.0.1.14,API_CALL,FAILED,2102,0
LOG100209,2026-01-05 19:38:19,user_25,10.0.1.26,LOGOUT,SUCCESS,2115,0
LOG100210,2026-01-05 20:09:59,user_9,10.0.1.23,LOGOUT,SUCCESS,2000,0
LOG100211,2026-01-05 20:53:18,user_32,10.0.1.5,FILE_ACCESS,SUCCESS,1145,0
LOG100212,2026-01-05 22:44:21,user_23,10.0.1.14,LOGOUT,SUCCESS,555,0
LOG100213,2026-01-05 23:11:48,user_15,203.0.113.6,CONFIG_CHANGE,SUCCESS,975,1
LOG100214,2026-01-05 23:50:23,user_7,203.0.113.6,FILE_ACCESS,SUCCESS,50467,1
LOG100215,2026-01-06 02:45:22,user_35,203.0.113.11,CONFIG_CHANGE,SUCCESS,2328,1
LOG100216,2026-01-06 03:35:37,user_37,203.0.113.12,API_CALL,SUCCESS,2561,1
LOG100217,2026-01-06 04:20:54,user_16,10.0.1.26,CONFIG_CHANGE,SUCCESS,791,0
LOG100218,2026-01-06 04:32:24,user_17,10.0.1.27,CONFIG_CHANGE,SUCCESS,3208,0
LOG100219,2026-01-06 06:15:53,user_21,10.0.1.29,PRIVILEGE_CHANGE,SUCCESS,2479,0
LOG100220,2026-01-06 06:52:18,svc_deploy,10.0.1.25,LOGOUT,SUCCESS,2136,0
LOG100221,2026-01-06 07:03:29,user_20,10.0.1.21,FILE_ACCESS,SUCCESS,1802,0
LOG100222,2026-01-06 10:20:41,user_10,10.0.1.8,DB_QUERY,SUCCESS,3763,0
LOG100223,2026-01-06 10:23:34,user_23,10.0.1.4,CONFIG_CHANGE,SUCCESS,2806,0
LOG100224,2026-01-06 10:32:22,user_23,10.0.1.9,CONFIG_CHANGE,SUCCESS,2531,0
LOG100225,2026-01-06 11:02:51,user_10,10.0.1.7,API_CALL,SUCCESS,1350,0
LOG100226,2026-01-06 11:23:41,user_30,10.0.1.22,FILE_ACCESS,SUCCESS,2933,0
LOG100227,2026-01-06 12:01:39,user_3,10.0.1.6,FILE_ACCESS,SUCCESS,1510,0
LOG100228,2026-01-06 12:02:40,svc_deploy,10.0.1.14,LOGOUT,SUCCESS,3053,0
LOG100229,2026-01-06 12:07:08,user_27,10.0.1.23,CONFIG_CHANGE,FAILED,1212,0
LOG100230,2026-01-06 12:12:50,user_19,10.0.1.6,DB_QUERY,FAILED,2617,0
LOG100231,2026-01-06 12:25:38,user_12,10.0.1.19,API_CALL,SUCCESS,3011,0
LOG100232,2026-01-06 12:33:00,user_26,10.0.1.12,API_CALL,SUCCESS,2173,0
LOG100233,2026-01-06 12:54:10,user_28,10.0.1.19,API_CALL,FAILED,1321,0
LOG100234,2026-01-06 13:06:18,user_22,10.0.1.17,CONFIG_CHANGE,SUCCESS,1106,0
LOG100235,2026-01-06 13:11:35,user_21,10.0.1.3,API_CALL,SUCCESS,2487,0
LOG100236,2026-01-06 13:11:41,user_20,10.0.1.29,DB_QUERY,SUCCESS,1284,0
LOG100237,2026-01-06 13:21:40,user_5,10.0.1.20,LOGIN,SUCCESS,4388,0
LOG100238,2026-01-06 13:38:56,user_17,10.0.1.2,LOGIN,FAILED,2398,0
LOG100239,2026-01-06 13:54:22,user_27,10.0.1.23,PRIVILEGE_CHANGE,FAILED,2194,0
LOG100240,2026-01-06 13:57:18,user_24,10.0.1.28,PRIVILEGE_CHANGE,FAILED,3728,0
LOG100241,2026-01-06 14:08:45,user_8,10.0.1.29,FILE_ACCESS,SUCCESS,743,0
LOG100242,2026-01-06 14:22:30,user_3,10.0.1.14,LOGOUT,SUCCESS,2174,0
LOG100243,2026-01-06 14:28:24,user_17,10.0.1.20,FILE_ACCESS,SUCCESS,2113,0
LOG100244,2026-01-06 14:36:47,user_7,10.0.1.25,FILE_ACCESS,SUCCESS,1694,0
LOG100245,2026-01-06 14:37:20,user_8,10.0.1.27,CONFIG_CHANGE,FAILED,737,0
LOG100246,2026-01-06 14:37:38,user_33,10.0.1.10,PRIVILEGE_CHANGE,SUCCESS,2805,0
LOG100247,2026-01-06 14:40:23,user_25,10.0.1.12,LOGOUT,SUCCESS,3612,0
LOG100248,2026-01-06 14:45:51,user_15,10.0.1.14,PRIVILEGE_CHANGE,SUCCESS,2103,0
LOG100249,2026-01-06 15:21:24,user_18,10.0.1.26,FILE_WRITE,FAILED,1330,0
LOG100250,2026-01-06 15:26:33,user_38,10.0.1.8,PRIVILEGE_CHANGE,SUCCESS,3519,0
LOG100251,2026-01-06 15:33:24,user_7,10.0.1.29,FILE_ACCESS,SUCCESS,2166,0
LOG100252,2026-01-06 16:00:50,user_5,10.0.1.26,FILE_WRITE,SUCCESS,1565,0
LOG100253,2026-01-06 17:02:58,user_12,10.0.1.17,CONFIG_CHANGE,FAILED,1589,0
LOG100254,2026-01-06 17:24:08,user_4,10.0.1.18,LOGOUT,SUCCESS,2546,0
LOG100255,2026-01-06 18:01:08,user_28,10.0.1.20,API_CALL,SUCCESS,1793,0
LOG100256,2026-01-06 18:32:02,user_35,10.0.1.20,FILE_WRITE,SUCCESS,2629,0
LOG100257,2026-01-06 18:34:50,user_11,10.0.1.10,PRIVILEGE_CHANGE,SUCCESS,2110,0
LOG100258,2026-01-07 01:21:11,user_6,10.0.1.17,FILE_ACCESS,SUCCESS,41321,1
LOG100259,2026-01-07 01:36:37,user_32,10.0.1.12,LOGIN,FAILED,2690,1
LOG100260,2026-01-07 02:05:15,user_2,10.0.1.25,PRIVILEGE_CHANGE,SUCCESS,3242,1
LOG100261,2026-01-07 02:54:13,user_37,203.0.113.13,FILE_ACCESS,SUCCESS,22860,1
LOG100262,2026-01-07 04:02:44,user_10,203.0.113.6,API_CALL,SUCCESS,2625,1
LOG100263,2026-01-07 05:19:25,user_19,10.0.1.10,FILE_WRITE,FAILED,2794,0
LOG100264,2026-01-07 07:47:24,user_32,10.0.1.13,FILE_ACCESS,SUCCESS,2635,0
LOG100265,2026-01-07 08:59:39,user_19,10.0.1.15,LOGOUT,SUCCESS,2596,0
LOG100266,2026-01-07 09:02:49,svc_monitor,10.0.1.7,FILE_WRITE,FAILED,2551,0
LOG100267,2026-01-07 09:12:30,user_7,10.0.1.10,LOGIN,SUCCESS,2440,0
